country_code,country_name,region,region_id,income_group,income_group_id
LAO,Lao PDR,East Asia & Pacific,EAS,Lower middle income,LMC
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",MEA,Lower middle income,LMC
LBR,Liberia,Sub-Saharan Africa ,SSF,Low income,LIC
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",MEA,Upper middle income,UMC
LCA,St. Lucia,Latin America & Caribbean ,LCN,Upper middle income,UMC
LCN,Latin America & Caribbean ,Aggregates,NA,Aggregates,NA
LDC,Least developed countries: UN classification,Aggregates,NA,Aggregates,NA
LIC,Low income,Aggregates,NA,Aggregates,NA
LIE,Liechtenstein,Europe & Central Asia,ECS,High income,HIC
LKA,Sri Lanka,South Asia,SAS,Upper middle income,UMC
LMC,Lower middle income,Aggregates,NA,Aggregates,NA
LMY,Low & middle income,Aggregates,NA,Aggregates,NA
LSO,Lesotho,Sub-Saharan Africa ,SSF,Lower middle income,LMC
LTE,Late-demographic dividend,Aggregates,NA,Aggregates,NA
LTU,Lithuania,Europe & Central Asia,ECS,High income,HIC
LUX,Luxembourg,Europe & Central Asia,ECS,High income,HIC
LVA,Latvia,Europe & Central Asia,ECS,High income,HIC
MAC,"Macao SAR, China",East Asia & Pacific,EAS,High income,HIC
MAF,St. Martin (French part),Latin America & Caribbean ,LCN,High income,HIC
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",MEA,Lower middle income,LMC
MCO,Monaco,Europe & Central Asia,ECS,High income,HIC
MDA,Moldova,Europe & Central Asia,ECS,Upper middle income,UMC
MDE,Middle East (developing only),Aggregates,NA,Aggregates,NA
MDG,Madagascar,Sub-Saharan Africa ,SSF,Low income,LIC
MDV,Maldives,South Asia,SAS,Upper middle income,UMC
MEA,"Middle East, North Africa, Afghanistan & Pakistan",Aggregates,NA,Aggregates,NA
MEX,Mexico,Latin America & Caribbean ,LCN,Upper middle income,UMC
MHL,Marshall Islands,East Asia & Pacific,EAS,Upper middle income,UMC
MIC,Middle income,Aggregates,NA,Aggregates,NA
MKD,North Macedonia,Europe & Central Asia,ECS,Upper middle income,UMC
MLI,Mali,Sub-Saharan Africa ,SSF,Low income,LIC
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",MEA,High income,HIC
MMR,Myanmar,East Asia & Pacific,EAS,Lower middle income,LMC
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",Aggregates,NA,Aggregates,NA
MNE,Montenegro,Europe & Central Asia,ECS,Upper middle income,UMC
MNG,Mongolia,East Asia & Pacific,EAS,Upper middle income,UMC
MNP,Northern Mariana Islands,East Asia & Pacific,EAS,High income,HIC
MOZ,Mozambique,Sub-Saharan Africa ,SSF,Low income,LIC
MRT,Mauritania,Sub-Saharan Africa ,SSF,Lower middle income,LMC
MUS,Mauritius,Sub-Saharan Africa ,SSF,Upper middle income,UMC
MWI,Malawi,Sub-Saharan Africa ,SSF,Low income,LIC
MYS,Malaysia,East Asia & Pacific,EAS,Upper middle income,UMC
NAC,North America,Aggregates,NA,Aggregates,NA
NAF,North Africa,Aggregates,NA,Aggregates,NA
NAM,Namibia,Sub-Saharan Africa ,SSF,Lower middle income,LMC
NCL,New Caledonia,East Asia & Pacific,EAS,High income,HIC
NER,Niger,Sub-Saharan Africa ,SSF,Low income,LIC
NGA,Nigeria,Sub-Saharan Africa ,SSF,Lower middle income,LMC
NIC,Nicaragua,Latin America & Caribbean ,LCN,Lower middle income,LMC
NLD,Netherlands,Europe & Central Asia,ECS,High income,HIC
NOR,Norway,Europe & Central Asia,ECS,High income,HIC
NPL,Nepal,South Asia,SAS,Lower middle income,LMC
NRS,Non-resource rich Sub-Saharan Africa countries,Aggregates,NA,Aggregates,NA
NRU,Naoero,East Asia & Pacific,EAS,High income,HIC
NXS,"IDA countries not classified as fragile situations, excluding Sub-Saharan Africa",Aggregates,NA,Aggregates,NA
NZL,New Zealand,East Asia & Pacific,EAS,High income,HIC
OED,OECD members,Aggregates,NA,Aggregates,NA
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",MEA,High income,HIC
OSS,Other small states,Aggregates,NA,Aggregates,NA
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",MEA,Lower middle income,LMC
PAN,Panama,Latin America & Caribbean ,LCN,High income,HIC
PER,Peru,Latin America & Caribbean ,LCN,Upper middle income,UMC
PHL,Philippines,East Asia & Pacific,EAS,Upper middle income,UMC
PLW,Palau,East Asia & Pacific,EAS,High income,HIC
PNG,Papua New Guinea,East Asia & Pacific,EAS,Lower middle income,LMC
POL,Poland,Europe & Central Asia,ECS,High income,HIC
PRE,Pre-demographic dividend,Aggregates,NA,Aggregates,NA
PRI,Puerto Rico (US),Latin America & Caribbean ,LCN,High income,HIC
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,EAS,Low income,LIC
PRT,Portugal,Europe & Central Asia,ECS,High income,HIC
PRY,Paraguay,Latin America & Caribbean ,LCN,Upper middle income,UMC
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",MEA,Lower middle income,LMC
PSS,Pacific island small states,Aggregates,NA,Aggregates,NA
PST,Post-demographic dividend,Aggregates,NA,Aggregates,NA
PYF,French Polynesia,East Asia & Pacific,EAS,High income,HIC
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",MEA,High income,HIC
ROU,Romania,Europe & Central Asia,ECS,High income,HIC
RRS,Resource rich Sub-Saharan Africa countries,Aggregates,NA,Aggregates,NA
RUS,Russian Federation,Europe & Central Asia,ECS,High income,HIC
RWA,Rwanda,Sub-Saharan Africa ,SSF,Low income,LIC
SAS,South Asia,Aggregates,NA,Aggregates,NA
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",MEA,High income,HIC
SDN,Sudan,Sub-Saharan Africa ,SSF,Low income,LIC
SEN,Senegal,Sub-Saharan Africa ,SSF,Lower middle income,LMC
SGP,Singapore,East Asia & Pacific,EAS,High income,HIC
SLB,Solomon Islands,East Asia & Pacific,EAS,Lower middle income,LMC
SLE,Sierra Leone,Sub-Saharan Africa ,SSF,Low income,LIC
SLV,El Salvador,Latin America & Caribbean ,LCN,Upper middle income,UMC
SMR,San Marino,Europe & Central Asia,ECS,High income,HIC
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa ,SSF,Low income,LIC
SRB,Serbia,Europe & Central Asia,ECS,Upper middle income,UMC
SSA,Sub-Saharan Africa (excluding high income),Aggregates,NA,Aggregates,NA
SSD,South Sudan,Sub-Saharan Africa ,SSF,Low income,LIC
SSF,Sub-Saharan Africa ,Aggregates,NA,Aggregates,NA
SST,Small states,Aggregates,NA,Aggregates,NA
STP,Sao Tome and Principe,Sub-Saharan Africa ,SSF,Lower middle income,LMC
SUR,Suriname,Latin America & Caribbean ,LCN,Upper middle income,UMC
SVK,Slovak Republic,Europe & Central Asia,ECS,High income,HIC
SVN,Slovenia,Europe & Central Asia,ECS,High income,HIC
SWE,Sweden,Europe & Central Asia,ECS,High income,HIC
SWZ,Eswatini,Sub-Saharan Africa ,SSF,Lower middle income,LMC
SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,LCN,High income,HIC
SXZ,Sub-Saharan Africa excluding South Africa,Aggregates,NA,Aggregates,NA
SYC,Seychelles,Sub-Saharan Africa ,SSF,High income,HIC
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",MEA,Low income,LIC
TCA,Turks and Caicos Islands,Latin America & Caribbean ,LCN,High income,HIC
TCD,Chad,Sub-Saharan Africa ,SSF,Low income,LIC
TEA,East Asia & Pacific (IDA & IBRD countries),Aggregates,NA,Aggregates,NA
TEC,Europe & Central Asia (IDA & IBRD countries),Aggregates,NA,Aggregates,NA
TGO,Togo,Sub-Saharan Africa ,SSF,Lower middle income,LMC
THA,Thailand,East Asia & Pacific,EAS,Upper middle income,UMC
TJK,Tajikistan,Europe & Central Asia,ECS,Lower middle income,LMC
TKM,Turkmenistan,Europe & Central Asia,ECS,Upper middle income,UMC
TLA,Latin America & the Caribbean (IDA & IBRD countries),Aggregates,NA,Aggregates,NA
TLS,Timor-Leste,East Asia & Pacific,EAS,Lower middle income,LMC
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",Aggregates,NA,Aggregates,NA
TON,Tonga,East Asia & Pacific,EAS,Upper middle income,UMC
TSA,South Asia (IDA & IBRD),Aggregates,NA,Aggregates,NA
TSS,Sub-Saharan Africa (IDA & IBRD countries),Aggregates,NA,Aggregates,NA
TTO,Trinidad and Tobago,Latin America & Caribbean ,LCN,High income,HIC
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",MEA,Lower middle income,LMC
TUR,Turkiye,Europe & Central Asia,ECS,Upper middle income,UMC
TUV,Tuvalu,East Asia & Pacific,EAS,Upper middle income,UMC
TZA,Tanzania,Sub-Saharan Africa ,SSF,Lower middle income,LMC
UGA,Uganda,Sub-Saharan Africa ,SSF,Low income,LIC
UKR,Ukraine,Europe & Central Asia,ECS,Upper middle income,UMC
UMC,Upper middle income,Aggregates,NA,Aggregates,NA
URY,Uruguay,Latin America & Caribbean ,LCN,High income,HIC
USA,United States,North America,NAC,High income,HIC
UZB,Uzbekistan,Europe & Central Asia,ECS,Lower middle income,LMC
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,LCN,Upper middle income,UMC
VEN,"Venezuela, RB",Latin America & Caribbean ,LCN,Lower middle income,LMC
VGB,British Virgin Islands,Latin America & Caribbean ,LCN,High income,HIC
VIR,Virgin Islands (U.S.),Latin America & Caribbean ,LCN,High income,HIC
VNM,Viet Nam,East Asia & Pacific,EAS,Upper middle income,UMC
VUT,Vanuatu,East Asia & Pacific,EAS,Lower middle income,LMC
WLD,World,Aggregates,NA,Aggregates,NA
WSM,Samoa,East Asia & Pacific,EAS,Upper middle income,UMC
XKX,Kosovo,Europe & Central Asia,ECS,Upper middle income,UMC
XZN,Sub-Saharan Africa excluding South Africa and Nigeria,Aggregates,NA,Aggregates,NA
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",MEA,Low income,LIC
ZAF,South Africa,Sub-Saharan Africa ,SSF,Upper middle income,UMC
ZMB,Zambia,Sub-Saharan Africa ,SSF,Lower middle income,LMC
ZWE,Zimbabwe,Sub-Saharan Africa ,SSF,Lower middle income,LMC
